regulator,target
CsgD,csgB
CsgD,csgC
CsgD,CsgD
CsgD,csgE
CsgD,csgF
CsgD,csgG
CsgD,dgcC
CsgD,flgM
CsgD,flgN
CsgD,FliA
CsgD,fliE
CsgD,fliF
CsgD,fliG
CsgD,fliH
CsgD,fliI
CsgD,fliJ
CsgD,fliK
CsgD,FliZ
CsgD,iraP
CsgD,nlpA
CsgD,pepD
CsgD,tcyJ
CsgD,ubiT
CsgD,wrbA
CsgD,yccJ
CsgD,yccT
CsgD,yhbS
CspA,gyrA
CspA,H-NS
CsqR,CsqR
CsqR,yihS
CsqR,yihT
CsqR,yihU
CsqR,yihV
CueR,copA
CueR,cueO
CueR,moaA
CueR,moaB
CueR,moaC
CueR,moaD
CueR,moaE
CusR,cusA
CusR,cusB
CusR,cusC
CusR,cusF
CusR,CusR
CusR,cusS
CusR,cyoA
CusR,cyoB
CusR,cyoC
CusR,cyoD
CusR,cyoE
CusR,hiuH
CynR,CynR
CynR,cynS
CynR,cynT
CynR,cynX
CysB,Cbl
CysB,cysA
CysB,CysB
CysB,cysC
CysB,cysD
CysB,cysH
CysB,cysI
CysB,cysJ
CysB,cysK
CysB,cysM
CysB,cysN
CysB,cysP
CysB,cysU
CysB,cysW
CysB,dgcZ
CysB,hslJ
CysB,ssuA
CysB,ssuB
CysB,ssuC
CysB,ssuD
CysB,ssuE
CysB,tauA
CysB,tauB
CysB,tauC
CysB,tauD
CysB,tcyJ
CysB,tcyP
CysB,ybdN
CysB,yciW
CysB,ygeH
CysB,yoaC
CytR,cdd
CytR,CytR
CytR,deoA
CytR,deoB
CytR,deoC
CytR,deoD
CytR,nupC
CytR,nupG
CytR,ppiA
CytR,RpoH
CytR,tsx
CytR,udp
CytR,ycdZ
TtdR,ttdA
TtdR,ttdB
TtdR,TtdR
TtdR,ttdT
DcuR,aspA
DcuR,dctA
DcuR,dcuA
DcuR,dcuB
DcuR,DpiA
DcuR,dpiB
DcuR,frdA
DcuR,frdB
DcuR,frdC
DcuR,frdD
DcuR,fumB
DcuR,pck
DeoR,deoA
DeoR,deoB
DeoR,deoC
DeoR,deoD
DeoR,nupG
DeoR,tsx
DgoR,dgoA
DgoR,dgoD
DgoR,dgoK
DgoR,DgoR
DgoR,dgoT
DhaR,dhaK
DhaR,dhaL
DhaR,dhaM
DhaR,DhaR
DicA,dicB
DicA,dicC
DicA,ydfD
DicA,ydfW
DicA,ydfX
DinJ-YafQ,cspE
DinJ-YafQ,DinJ-YafQ
DnaA,aldA
DnaA,guaA
DnaA,guaB
DnaA,polA
DnaA,recN
DnaA,RpoH
DnaA,uvrB
DnaA,yjeV
DpiA,AppY
DpiA,citC
DpiA,citD
DpiA,citE
DpiA,citF
DpiA,citG
DpiA,citX
DpiA,DpiA
DpiA,dpiB
DpiA,exuT
DpiA,mdh
DsdC,dsdA
DsdC,DsdC
DsdC,dsdX
EbgR,ebgA
EbgR,ebgC
EnvR,acrA
EnvR,acrB
EnvY,ompC
EnvY,ompF
EvgA,acrD
EvgA,emrK
EvgA,emrY
EvgA,EvgA
EvgA,evgS
EvgA,frc
EvgA,GadE
EvgA,GadE-RcsB
EvgA,gadF
EvgA,mdtE
EvgA,mdtF
EvgA,oxc
EvgA,safA
EvgA,YdeO
EvgA,ydeP
EvgA,yegR
EvgA,yfdE
EvgA,yfdV
EvgA,yfdX
ExuR,ExuR
ExuR,exuT
ExuR,lgoR
ExuR,uxaA
ExuR,uxaB
ExuR,uxaC
ExuR,uxuA
ExuR,uxuB
ExuR,UxuR
Fnr,ackA
Fnr,acnA
Fnr,acrE
Fnr,acrF
Fnr,adhE
Fnr,aer
Fnr,aldA
Fnr,ansB
Fnr,aspA
Fnr,bcsB
Fnr,bcsZ
Fnr,CadC
Fnr,caiA
Fnr,caiB
Fnr,caiC
Fnr,caiD
Fnr,caiE
Fnr,CaiF
Fnr,caiT
Fnr,ccmA
Fnr,ccmB
Fnr,ccmC
Fnr,ccmD
Fnr,ccmE
Fnr,ccmF
Fnr,ccmG
Fnr,ccmH
Fnr,ccp
Fnr,cheB
Fnr,cheR
Fnr,cheY
Fnr,cheZ
Fnr,citC
Fnr,citD
Fnr,citE
Fnr,citF
Fnr,citG
Fnr,citX
Fnr,cydC
Fnr,cydD
Fnr,cyoA
Fnr,cyoB
Fnr,cyoC
Fnr,cyoD
Fnr,cyoE
Fnr,cysG
Fnr,dcuA
Fnr,dcuB
Fnr,dcuC
Fnr,DcuR
Fnr,dcuS
Fnr,dmsA
Fnr,dmsB
Fnr,dmsC
Fnr,dmsD
Fnr,DpiA
Fnr,dpiB
Fnr,dppA
Fnr,dppB
Fnr,dppC
Fnr,dppD
Fnr,dppF
Fnr,emrK
Fnr,emrY
Fnr,entF
Fnr,fdhF
