Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Regulated,Regulated_Bnb,Inhibited,Inhibited_Bnb,Activated,Activated_Bnb
DNA-binding transcriptional dual regulator IscR,IscR,iscR,b2531,iscR,TF,"nrdH,nrdI,nrdF,nrdE,rnlB,rnlA,nfuA,erpA,selO,napC,napB,napH,napG,napA,napD,napF,sufE,sufS,sufD,sufC,sufB,sufA,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF","b2673,b2674,b2676,b2675,b2631,b2630,b3414,b0156,b1706,b2202,b2203,b2204,b2205,b2206,b2207,b2208,b1679,b1680,b1681,b1682,b1683,b1684,b0972,b0973,b0974,b0975,b0976,b0977","rnlB,rnlA,nfuA,erpA,napC,napB,napH,napG,napA,napD,napF,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF,torT,iscA,iscU,iscS,iscR","b2631,b2630,b3414,b0156,b2202,b2203,b2204,b2205,b2206,b2207,b2208,b0972,b0973,b0974,b0975,b0976,b0977,b0994,b2528,b2529,b2530,b2531","nrdH,nrdI,nrdF,nrdE,selO,sufE,sufS,sufD,sufC,sufB,sufA","b2673,b2674,b2676,b2675,b1706,b1679,b1680,b1681,b1682,b1683,b1684"
DNA-binding transcriptional dual regulator GcvA,GcvA,gcvA,b2808,gcvA,TF,"gcvB,gcvA,gcvP,gcvH,gcvT","b4443,b2808,b2903,b2904,b2905","gcvA,gcvP,gcvH,gcvT","b2808,b2903,b2904,b2905","gcvB,gcvP,gcvH,gcvT","b4443,b2903,b2904,b2905"
DNA-binding transcriptional repressor UxuR,UxuR,uxuR,b4324,uxuR,TF,"lgoD,lgoR,exuR,gntP,uidC,uidB,uidA,uxuR,uxuB,uxuA","b4358,b4357,b3094,b4321,b1615,b1616,b1617,b4324,b4323,b4322","lgoD,lgoR,exuR,gntP,uidC,uidB,uidA,uxuR,uxuB,uxuA","b4358,b4357,b3094,b4321,b1615,b1616,b1617,b4324,b4323,b4322",,
DNA-binding transcriptional dual regulator YciT,YciT,yciT,b1284,yciT,TF,"ybiY,bsmA,rdcA,cusF","b0824,b4189,b4109,b0573","rdcA,cusF","b4109,b0573","ybiY,bsmA","b0824,b4189"
DNA-binding transcriptional activator RclR,RclR,rclR,b0305,rclR,TF,"rclC,rclB,rclA","b0301,b0303,b0304",,,"rclC,rclB,rclA","b0301,b0303,b0304"
DNA-binding transcriptional repressor AcrR,AcrR,acrR,b0464,acrR,TF,"flhC,flhD,soxS,soxR,marR,marA,marB,micF,acrR,acrA,acrB","b1891,b1892,b4062,b4063,b1530,b1531,b1532,b4439,b0464,b0463,b0462","flhC,flhD,soxS,soxR,marR,marA,marB,micF,acrR,acrA,acrB","b1891,b1892,b4062,b4063,b1530,b1531,b1532,b4439,b0464,b0463,b0462",,
DNA-binding transcriptional repressor FabR,FabR,fabR,b3963,fabR,TF,"fabB,fabA","b2323,b0954","fabB,fabA","b2323,b0954",,
DNA-binding transcriptional repressor AlsR,AlsR,alsR,b4089,alsR,TF,"alsE,alsC,alsA,alsB,alsR,rpiB","b4085,b4086,b4087,b4088,b4089,b4090","alsE,alsC,alsA,alsB,alsR,rpiB","b4085,b4086,b4087,b4088,b4089,b4090",,
DNA-binding transcriptional activator PunR,YdhB,punR,b1659,punR,TF,punC,b1660,,,punC,b1660
DNA-binding transcriptional repressor LacI,LacI,lacI,b0345,lacI,TF,"lacA,lacY,lacZ","b0342,b0343,b0344","lacA,lacY,lacZ","b0342,b0343,b0344",,
DNA-binding transcriptional repressor ExuR,ExuR,exuR,b3094,exuR,TF,"exuR,uxaB,uxaA,uxaC,uxuR,exuT,uxuB,uxuA","b3094,b1521,b3091,b3092,b4324,b3093,b4323,b4322","exuR,uxaB,uxaA,uxaC,uxuR,exuT,uxuB,uxuA,lgoD,lgoR","b3094,b1521,b3091,b3092,b4324,b3093,b4323,b4322,b4358,b4357",,
DNA-binding transcriptional dual regulator PdhR,PdhR,pdhR,b0113,pdhR,TF,"fadH,fadM,fadL,ybcW,ybcV,fadE,gmhA,acpP,lldP,fumD,ppsR,ppsA,lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL,rsmH,mraZ,glcA,glcB,glcG,glcF,glcE,glcD,hemL,tomB,hha,cyoE,cyoD,cyoC,cyoB,cyoA,ndh,grcA,fecE,fecD,fecC,fecB,fecA,pdhR,aceE,aceF,lpd","b3081,b0443,b2344,b0559,b0558,b0221,b0222,b1094,b3603,b1675,b1703,b1702,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0082,b0081,b2975,b2976,b2977,b4467,b4468,b2979,b0154,b0461,b0460,b0428,b0429,b0430,b0431,b0432,b1109,b2579,b4287,b4288,b4289,b4290,b4291,b0113,b0114,b0115,b0116","lldP,lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL,rsmH,mraZ,glcA,glcB,glcG,glcF,glcE,glcD,hemL,tomB,hha,cyoE,cyoD,cyoC,cyoB,cyoA,ndh,grcA,pdhR,aceE,aceF,lpd","b3603,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0082,b0081,b2975,b2976,b2977,b4467,b4468,b2979,b0154,b0461,b0460,b0428,b0429,b0430,b0431,b0432,b1109,b2579,b0113,b0114,b0115,b0116","fadH,fadM,fadL,ybcW,ybcV,fadE,gmhA,acpP,fumD,ppsR,ppsA,fecE,fecD,fecC,fecB,fecA","b3081,b0443,b2344,b0559,b0558,b0221,b0222,b1094,b1675,b1703,b1702,b4287,b4288,b4289,b4290,b4291"
DNA-binding transcriptional activator GadE,GadE,gadE,b3512,gadE,TF,"yjbR,yjbQ,yhiM,yhiD,hdeB,hdeA,fliX,fliC,gadW,gadX,lpxA,fabZ,lpxD,skp,purA,hdeD,gnd,gadF,mdtF,mdtE,gadE,cyoE,cyoD,cyoC,cyoB,cyoA,rcsA,gltB,gltD,gltF,lrp,gadC,gadB","b4057,b4056,b3491,b3508,b3509,b3510,b4827,b1923,b3515,b3516,b0181,b0180,b0179,b0178,b4177,b3511,b2029,b4718,b3514,b3513,b3512,b0428,b0429,b0430,b0431,b0432,b1951,b3212,b3213,b3214,b0889,b1492,b1493",,,"yjbR,yjbQ,yhiD,hdeB,hdeA,fliX,fliC,gadW,lpxA,fabZ,lpxD,skp,purA,hdeD,gnd,gadF,mdtF,mdtE,gadE,cyoE,cyoD,cyoC,cyoB,cyoA,rcsA,gltB,gltD,gltF,lrp,gadC,gadB,yhiM,aslB,dctR,slp,cadA,cadB,adiC,gadX,gadA","b4057,b4056,b3508,b3509,b3510,b4827,b1923,b3515,b0181,b0180,b0179,b0178,b4177,b3511,b2029,b4718,b3514,b3513,b3512,b0428,b0429,b0430,b0431,b0432,b1951,b3212,b3213,b3214,b0889,b1492,b1493,b3491,b3800,b3507,b3506,b4131,b4132,b4115,b3516,b3517"
DNA-binding transcriptional dual regulator GadW,GadW,gadW,b3515,gadW,TF,"gadC,gadB,yhiD,hdeB,hdeA,dctR,slp,gadY,gadF,mdtF,mdtE,gadE,gadW,gadX,gadA","b1492,b1493,b3508,b3509,b3510,b3507,b3506,b4452,b4718,b3514,b3513,b3512,b3515,b3516,b3517","gadC,gadB,yhiD,hdeB,hdeA,dctR,slp,gadY,gadW,gadX,gadA","b1492,b1493,b3508,b3509,b3510,b3507,b3506,b4452,b3515,b3516,b3517","gadC,gadB,gadX,gadA,yhiD,hdeB,hdeA,gadF,mdtF,mdtE,gadE","b1492,b1493,b3516,b3517,b3508,b3509,b3510,b4718,b3514,b3513,b3512"
fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,PutA,putA,b1014,putA,TF,"putP,putA","b1015,b1014","putP,putA","b1015,b1014",,
DNA-binding transcriptional dual regulator MarA,MarA,marA,b1531,marA,TF,"ymgC,ariR,ymgA,ycgZ,lacA,lacY,lacZ,xseA,mlaF,mlaE,mlaD,mlaC,mlaB,aldA,yhbW,mdaB,map,glnD,dapD,acrZ,yncE,acnA,ybjN,rimK,nfsA,ybjC,waaZ,waaY,decR,ygiC,ygiB,tolC,inaA,nfsB,purA,rob,zwf,marR,marA,marB,fumC,sodA,dctR,slp,micF,nfo,fpr,pqiC,pqiB,pqiA,putA,poxB,acrA,acrB,yhiD,hdeB,hdeA","b1167,b1166,b1165,b1164,b0342,b0343,b0344,b2509,b3195,b3194,b3193,b3192,b3191,b1415,b3160,b3028,b0168,b0167,b0166,b0762,b1452,b1276,b0853,b0852,b0851,b0850,b3624,b3625,b0447,b3038,b3037,b3035,b2237,b0578,b4177,b4396,b1852,b1530,b1531,b1532,b1611,b3908,b3507,b3506,b4439,b2159,b3924,b0952,b0951,b0950,b1014,b0871,b0463,b0462,b3508,b3509,b3510","lacA,lacY,lacZ,purA,rob,dctR,slp,yhiD,hdeB,hdeA","b0342,b0343,b0344,b4177,b4396,b3507,b3506,b3508,b3509,b3510","ymgC,ariR,ymgA,ycgZ,xseA,mlaF,mlaE,mlaD,mlaC,mlaB,aldA,yhbW,mdaB,map,glnD,dapD,acrZ,yncE,acnA,ybjN,rimK,nfsA,ybjC,waaZ,waaY,decR,ygiC,ygiB,tolC,inaA,nfsB,zwf,marR,marA,marB,fumC,sodA,micF,nfo,fpr,pqiC,pqiB,pqiA,putA,poxB,acrA,acrB","b1167,b1166,b1165,b1164,b2509,b3195,b3194,b3193,b3192,b3191,b1415,b3160,b3028,b0168,b0167,b0166,b0762,b1452,b1276,b0853,b0852,b0851,b0850,b3624,b3625,b0447,b3038,b3037,b3035,b2237,b0578,b1852,b1530,b1531,b1532,b1611,b3908,b4439,b2159,b3924,b0952,b0951,b0950,b1014,b0871,b0463,b0462"
antitoxin of the MazF-MazE toxin-antitoxin system MazE,MazE,mazE,b2783,mazE,TF,"mazG,mazF,mazE","b2781,b2782,b2783","mazG,mazF,mazE","b2781,b2782,b2783",,
DNA-binding transcriptional activator AaeR,AaeR,aaeR,b3243,aaeR,TF,"aaeX,aaeA,aaeB","b3242,b3241,b3240",,,"aaeX,aaeA,aaeB","b3242,b3241,b3240"
DNA-binding transcriptional dual regulator RbsR,RbsR,rbsR,b3753,rbsR,TF,"purD,purH,rbsR,rbsD,rbsA,rbsC,rbsB,rbsK","b4005,b4006,b3753,b3748,b3749,b3750,b3751,b3752","purD,purH,rbsR,rbsD,rbsA,rbsC,rbsB,rbsK","b4005,b4006,b3753,b3748,b3749,b3750,b3751,b3752","dcd,udk,add","b2065,b2066,b1623"
DNA-binding transcriptional activator YeiL,YeiL,yeiL,b2163,yeiL,TF,yeiL,b2163,,,yeiL,b2163
DNA-binding transcriptional dual regulator HdfR,HdfR,hdfR,b4480,hdfR,TF,"maoP,gltB,gltD,gltF,flhC,flhD","b3764,b3212,b3213,b3214,b1891,b1892","flhC,flhD","b1891,b1892","maoP,gltB,gltD,gltF","b3764,b3212,b3213,b3214"
DNA-binding transcriptional repressor BetI,BetI,betI,b0313,betI,TF,"betT,betA,betB,betI","b0314,b0311,b0312,b0313","betT,betA,betB,betI","b0314,b0311,b0312,b0313",,
DNA-binding transcriptional repressor YgiV,YgiV,ygiV,b3023,ygiV,TF,mcbR,b1450,mcbR,b1450,,
DNA-binding transcriptional repressor MalI,MalI,malI,b1620,malI,TF,"malX,malY,malI","b1621,b1622,b1620","malX,malY,malI","b1621,b1622,b1620",,
DNA-binding transcriptional activator CdaR,CdaR,cdaR,b0162,cdaR,TF,"cdaR,gudD,gudX,gudP,garD,rnpB,garK,garR,garL,garP","b0162,b2787,b2788,b2789,b3128,b3123,b3124,b3125,b3126,b3127",,,"cdaR,gudD,gudX,gudP,garD,rnpB,garK,garR,garL,garP","b0162,b2787,b2788,b2789,b3128,b3123,b3124,b3125,b3126,b3127"
cold shock protein CspA,CspA,cspA,b3556,cspA,TF,"gyrA,hns","b2231,b1237",,,"gyrA,hns","b2231,b1237"
antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,MqsA,mqsA,b3021,mqsA,TF,"csgG,csgF,csgE,csgD,rpoS,mqsR,mqsA,cspD","b1037,b1038,b1039,b1040,b2741,b3022,b3021,b0880","csgG,csgF,csgE,csgD,rpoS,mqsR,mqsA,cspD","b1037,b1038,b1039,b1040,b2741,b3022,b3021,b0880",,
DNA-binding transcriptional repressor NfeR,NfeR,nfeR,b3071,nfeR,TF,"nfeF,nfeR","b3070,b3071","nfeF,nfeR","b3070,b3071",,
DNA-binding transcriptional activator FeaR,FeaR,feaR,b1384,feaR,TF,"tynA,feaB","b1386,b1385",,,"tynA,feaB","b1386,b1385"
DNA-binding transcriptional activator MlrA,MlrA,mlrA,b2127,mlrA,TF,"ibaG,obgE,yhbE,rpmA,rplU,cadC,csgG,csgF,csgE,csgD","b3190,b3183,b3184,b3185,b3186,b4133,b1037,b1038,b1039,b1040",,,"ibaG,obgE,yhbE,rpmA,rplU,cadC,csgG,csgF,csgE,csgD","b3190,b3183,b3184,b3185,b3186,b4133,b1037,b1038,b1039,b1040"
DNA-binding transcriptional dual regulator LrhA,LrhA,lrhA,b2289,lrhA,TF,"leuO,lrhA,flhC,flhD,fimE","b0076,b2289,b1891,b1892,b4313","flhC,flhD","b1891,b1892","leuO,lrhA,fimE","b0076,b2289,b4313"
DNA-binding transcriptional dual regulator GadX,GadX,gadX,b3516,gadX,TF,"dtpA,speG,ynfB,ydeM,ydeN,murI,btuB,uspE,dctR,slp,gadW,gadY,gadF,mdtF,mdtE,gadE,ybaT,glsA,asnB,hdeD,cadA,cadB,hns,rpoS,lon,gadX,gadA,gadC,gadB,amtB,glnK,yhiD,hdeB,hdeA","b1634,b1584,b1583,b1497,b1498,b3967,b3966,b1333,b3507,b3506,b3515,b4452,b4718,b3514,b3513,b3512,b0486,b0485,b0674,b3511,b4131,b4132,b1237,b2741,b0439,b3516,b3517,b1492,b1493,b0451,b0450,b3508,b3509,b3510","dtpA,speG,ynfB,ydeM,ydeN,murI,btuB,yhiD,hdeB,hdeA,gadW","b1634,b1584,b1583,b1497,b1498,b3967,b3966,b3508,b3509,b3510,b3515","gadW,uspE,dctR,slp,gadY,gadF,mdtF,mdtE,gadE,ybaT,glsA,asnB,hdeD,cadA,cadB,hns,rpoS,lon,gadX,gadA,gadC,gadB,amtB,glnK,yhiD,hdeB,hdeA","b3515,b1333,b3507,b3506,b4452,b4718,b3514,b3513,b3512,b0486,b0485,b0674,b3511,b4131,b4132,b1237,b2741,b0439,b3516,b3517,b1492,b1493,b0451,b0450,b3508,b3509,b3510"
DNA-binding transcriptional dual regulator GalS,GalS,galS,b2151,galS,TF,"galP,mglC,mglA,mglB,galM,galK,galT,galE,galS","b2943,b2148,b2149,b2150,b0756,b0757,b0758,b0759,b2151","mglC,mglA,mglB,galM,galK,galT,galE,galS,galP,galR","b2148,b2149,b2150,b0756,b0757,b0758,b0759,b2151,b2943,b2837","galM,galK,galT,galE","b0756,b0757,b0758,b0759"
DNA-binding transcriptional dual regulator RutR,RutR,rutR,b1013,rutR,TF,"fepB,gloA,nemA,nemR,rutA,rutB,rutC,rutD,rutE,rutF,rutG,rutR,gadW,gadX,carA,carB,pdeR","b0592,b1651,b1650,b1649,b1012,b1011,b1010,b1009,b1008,b1007,b1006,b1013,b3515,b3516,b0032,b0033,b1285","fepB,gloA,nemA,nemR,rutA,rutB,rutC,rutD,rutE,rutF,rutG,rutR,gadW,gadX,pdeR","b0592,b1651,b1650,b1649,b1012,b1011,b1010,b1009,b1008,b1007,b1006,b1013,b3515,b3516,b1285","carA,carB","b0032,b0033"
antitoxin/DNA-binding transcriptional repressor HipB,HipB,hipB,b1508,hipB,TF,"fadH,eutH,eutA,mazF,mazE,relA,hipA,hipB","b3081,b2452,b2451,b2782,b2783,b2784,b1507,b1508","fadH,eutH,eutA,mazF,mazE,relA,hipA,hipB","b3081,b2452,b2451,b2782,b2783,b2784,b1507,b1508",,
DNA-binding transcriptional activator TdcA,TdcA,tdcA,b3118,tdcA,TF,"tdcG,tdcF,tdcE,tdcD,tdcC,tdcB,tdcA","b4471,b3113,b3114,b3115,b3116,b3117,b3118",,,"tdcG,tdcF,tdcE,tdcD,tdcC,tdcB,tdcA","b4471,b3113,b3114,b3115,b3116,b3117,b3118"
DNA-binding transcriptional dual regulator TyrR,TyrR,tyrR,b1323,tyrR,TF,"tyrR,tyrP","b1323,b1907","tyrR,tyrP,tyrB,aroP,aroL,yaiA,aroM,tyrA,aroF,aroG","b1323,b1907,b4054,b0112,b0388,b0389,b0390,b2600,b2601,b0754","folA,mtr,tyrP","b0048,b3161,b1907"
DNA-binding transcriptional dual regulator FadR,FadR,fadR,b1187,fadR,TF,"accD,accC,accB,accA,fabI,fabH,fabD,fabG,fadM,fadH,fabB,iclR,fadJ,fadI,sroD,fadD,fabA,fadE,uspA,fadL,fadA,fadB","b2316,b3256,b3255,b0185,b1288,b1091,b1092,b1093,b0443,b3081,b2323,b4018,b2341,b2342,b1805,b0954,b0221,b3495,b2344,b3845,b3846","fadM,fadH,fadJ,fadI,sroD,fadD,fadE,uspA,fadL,fadA,fadB","b0443,b3081,b2341,b2342,b1805,b0221,b3495,b2344,b3845,b3846","accD,accC,accB,accA,fabI,fabH,fabD,fabG,fabB,iclR,fabA,fadR","b2316,b3256,b3255,b0185,b1288,b1091,b1092,b1093,b2323,b4018,b0954,b1187"
DNA-binding transcriptional dual regulator YfeC,YfeC,yfeC,b2398,yfeC,TF,"rpmH,rpmB,rpsU,hybE,ygdR,yfeC","b3703,b3637,b3065,b2992,b2833,b2398","rpmH,rpmB,rpsU,hybE,ygdR","b3703,b3637,b3065,b2992,b2833",yfeC,b2398
DNA-binding transcriptional repressor UidR,UidR,uidR,b1618,uidR,TF,"uidR,uidC,uidB,uidA","b1618,b1615,b1616,b1617","uidR,uidC,uidB,uidA","b1618,b1615,b1616,b1617",,
DNA-binding transcriptional dual regulator MelR,MelR,melR,b4118,melR,TF,"melA,melB,melR","b4119,b4120,b4118","melA,melB,melR","b4119,b4120,b4118","melA,melB,melR","b4119,b4120,b4118"
DNA-binding transcriptional repressor SrlR,SrlR,srlR,b2707,srlR,TF,"srlA,srlE,srlB,srlD,gutM,srlR,gutQ","b2702,b2703,b2704,b2705,b2706,b2707,b2708","srlA,srlE,srlB,srlD,gutM,srlR,gutQ","b2702,b2703,b2704,b2705,b2706,b2707,b2708",,
DNA-binding transcriptional repressor Mlc,Mlc,mlc,b1594,mlc,TF,"ptsG,manX,manY,manZ,malT,ptsH,ptsI,crr,bidA,mlc","b1101,b1817,b1818,b1819,b3418,b2415,b2416,b2417,b1593,b1594","ptsG,manX,manY,manZ,malT,ptsH,ptsI,crr,bidA,mlc","b1101,b1817,b1818,b1819,b3418,b2415,b2416,b2417,b1593,b1594",,
DNA-binding transcriptional dual regulator YidZ,YidZ,yidZ,b3711,yidZ,TF,"malE,ppiC,rbsD,rof","b4034,b3775,b3748,b0189","malE,ppiC,rbsD,rof","b4034,b3775,b3748,b0189",,
DNA-binding transcriptional activator Cbl,Cbl,cbl,b1987,cbl,TF,"ssuB,ssuC,ssuD,ssuA,ssuE,tauD,tauC,tauB,tauA","b0933,b0934,b0935,b0936,b0937,b0368,b0367,b0366,b0365",,,"ssuB,ssuC,ssuD,ssuA,ssuE,tauD,tauC,tauB,tauA","b0933,b0934,b0935,b0936,b0937,b0368,b0367,b0366,b0365"
RNA polymerase sigma factor RpoN,RpoN,rpoN,b3202,rpoN,sigma,"fadL,yfcZ,cspC,yobF,nth,mutM","b2344,b2343,b1823,b1824,b1633,b3635","fadL,yfcZ,cspC,yobF,nth,mutM","b2344,b2343,b1823,b1824,b1633,b3635",,
DNA-binding transcriptional activator AdiY,AdiY,adiY,b4116,adiY,TF,"gltB,gltD,gltF,gadC,gadB,gadX,gadA,adiA","b3212,b3213,b3214,b1492,b1493,b3516,b3517,b4117",,,"gltB,gltD,gltF,gadC,gadB,gadX,gadA,adiA","b3212,b3213,b3214,b1492,b1493,b3516,b3517,b4117"
DNA-binding transcriptional dual regulator YdeO,YdeO,ydeO,b1499,ydeO,TF,"nhaR,dctR,slp,uspD,yiiS,appX,appC,appB,appA,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF,gadW,ydeO,safA,gadF,mdtF,mdtE,gadE","b0020,b3507,b3506,b3923,b3922,b4592,b0978,b0979,b0980,b0972,b0973,b0974,b0975,b0976,b0977,b3515,b1499,b1500,b4718,b3514,b3513,b3512","ydeO,safA","b1499,b1500","nhaR,dctR,slp,uspD,yiiS,appX,appC,appB,appA,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF,gadW,gadF,mdtF,mdtE,gadE","b0020,b3507,b3506,b3923,b3922,b4592,b0978,b0979,b0980,b0972,b0973,b0974,b0975,b0976,b0977,b3515,b4718,b3514,b3513,b3512"
DNA-binding transcriptional repressor NemR,NemR,nemR,b1649,nemR,TF,"gloA,nemA,nemR","b1651,b1650,b1649","gloA,nemA,nemR","b1651,b1650,b1649",,
DNA-binding transcriptional repressor StpA with RNA chaperone activity,StpA,stpA,b2669,stpA,TF,"malH,malG,malF,malE,casA,casB,casC,casD,casE,cas1,cas2,fau,ssrS,leuO,bglB,bglF,bglG,stpA","b4807,b4032,b4033,b4034,b2760,b2759,b2758,b2757,b2756,b2755,b2754,b2912,b2911,b0076,b3721,b3722,b3723,b2669","fau,ssrS,leuO,bglB,bglF,bglG,stpA","b2912,b2911,b0076,b3721,b3722,b3723,b2669","malH,malG,malF,malE,casA,casB,casC,casD,casE,cas1,cas2","b4807,b4032,b4033,b4034,b2760,b2759,b2758,b2757,b2756,b2755,b2754"
DNA-binding transcriptional activator RhaS,RhaS,rhaS,b3905,rhaS,TF,"rhaT,rhaS,rhaR","b3907,b3905,b3906",,,"rhaS,rhaR,rhaD,rhaA,rhaB,rhaT","b3905,b3906,b3902,b3903,b3904,b3907"
DNA-binding transcriptional repressor UlaR,UlaR,ulaR,b4191,ulaR,TF,"ulaG,ulaF,ulaE,ulaD,ulaC,ulaB,ulaA","b4192,b4198,b4197,b4196,b4195,b4194,b4193","ulaG,ulaF,ulaE,ulaD,ulaC,ulaB,ulaA","b4192,b4198,b4197,b4196,b4195,b4194,b4193",,
CP4-57 prophage; DNA-binding transcriptional activator AlpA,AlpA,alpA,b2624,alpA,TF,"phoB,phoR,intA","b0399,b0400,b2622","phoB,phoR","b0399,b0400",intA,b2622
DNA-binding transcriptional dual regulator Rob,Rob,rob,b4396,rob,TF,"yacH,ydcL,ybiT,mdtD,narG,glgS,chaC,yjcH,yhbO,yiaG,fadL,fadD,fadA,fadB,elaB,astC,actP,acs,aldA,yhbW,mdaB,map,glnD,dapD,acrZ,rob,fumC,nfsB,acnA,ybjN,rimK,nfsA,ybjC,ygiC,ygiB,tolC,aslB,mltF,ldtB,inaA,zwf,marR,marA,marB,sodA,micF,nfo,acrA,acrB","b0117,b1431,b0820,b2077,b1224,b3049,b1218,b4068,b3153,b3555,b2344,b1805,b3845,b3846,b2266,b1748,b4067,b4069,b1415,b3160,b3028,b0168,b0167,b0166,b0762,b4396,b1611,b0578,b1276,b0853,b0852,b0851,b0850,b3038,b3037,b3035,b3800,b2558,b0819,b2237,b1852,b1530,b1531,b1532,b3908,b4439,b2159,b0463,b0462","yjcH,yhbO,yiaG,fadL,fadD,fadA,fadB,elaB,astC,actP,acs,rob","b4068,b3153,b3555,b2344,b1805,b3845,b3846,b2266,b1748,b4067,b4069,b4396","yacH,ydcL,ybiT,mdtD,narG,glgS,chaC,aldA,yhbW,mdaB,map,glnD,dapD,acrZ,fumC,nfsB,acnA,ybjN,rimK,nfsA,ybjC,ygiC,ygiB,tolC,aslB,mltF,ldtB,inaA,zwf,marR,marA,marB,sodA,micF,nfo,acrA,acrB","b0117,b1431,b0820,b2077,b1224,b3049,b1218,b1415,b3160,b3028,b0168,b0167,b0166,b0762,b1611,b0578,b1276,b0853,b0852,b0851,b0850,b3038,b3037,b3035,b3800,b2558,b0819,b2237,b1852,b1530,b1531,b1532,b3908,b4439,b2159,b0463,b0462"
DNA-binding transcriptional repressor MraZ,MraZ,mraZ,b0081,mraZ,TF,"mioC,lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL,rsmH,mraZ","b3742,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0082,b0081","mioC,lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL,rsmH,mraZ","b3742,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0082,b0081",,
DNA-binding transcriptional dual regulator DicA,DicA,dicA,b1570,dicA,TF,"dicA,dicC,ydfX,ydfW,intQ,insD7,ydfE,ydfD,dicB","b1570,b1569,b1568,b1567,b1579,b1578,b1577,b1576,b1575","dicC,ydfX,ydfW,intQ,insD7,ydfE,ydfD,dicB","b1569,b1568,b1567,b1579,b1578,b1577,b1576,b1575",dicA,b1570
DNA-binding transcriptional dual regulator IdnR,IdnR,idnR,b4264,idnR,TF,idnK,b4268,"gntU,gntK","b4476,b3437","idnK,idnR,idnT,idnO,idnD","b4268,b4264,b4265,b4266,b4267"
DNA-binding transcriptional dual regulator CynR,CynR,cynR,b0338,cynR,TF,cynR,b0338,cynR,b0338,"cynT,cynS,cynX","b0339,b0340,b0341"
DNA-binding transcriptional dual regulator MatA,EcpR,matA,b0294,matA,TF,"fliX,fliC,tcyJ,fliZ,fliA,matA,ecpA,flhC,flhD","b4827,b1923,b1920,b1921,b1922,b0294,b0293,b1891,b1892","fliX,fliC,tcyJ,fliZ,fliA,flhC,flhD","b4827,b1923,b1920,b1921,b1922,b1891,b1892","matA,ecpA","b0294,b0293"
DNA-binding transcriptional repressor AscG,AscG,ascG,b2714,ascG,TF,"htpG,ybiT,prpR,ascF,ascB","b0473,b0820,b0330,b2715,b2716","htpG,ybiT,prpR,ascF,ascB","b0473,b0820,b0330,b2715,b2716",,
DNA-binding transcriptional repressor KdgR,KdgR,kdgR,b1827,kdgR,TF,"edd,eda","b1851,b1850","edd,eda","b1851,b1850",,
DNA-binding transcriptional repressor EnvR,EnvR,envR,b3264,envR,TF,"acrA,acrB","b0463,b0462","acrA,acrB","b0463,b0462",,
DNA-binding transcriptional dual regulator CsqR,CsqR,csqR,b3884,csqR,TF,"yihS,yihT,yihU,yihV,csqR","b3880,b3881,b3882,b3883,b3884","yihS,yihT,yihU,yihV,csqR","b3880,b3881,b3882,b3883,b3884",,
DNA-binding transcriptional activator YhaJ,YhaJ,yhaJ,b3105,yhaJ,TF,"yhaJ,ygiD,yqjF,yhhW,ybiJ,bssS,yhaL,yhaK","b3105,b3039,b3101,b3439,b0802,b1060,b3107,b3106",,,"yhaJ,ygiD,yqjF,yhhW,ybiJ,bssS,yhaL,yhaK","b3105,b3039,b3101,b3439,b0802,b1060,b3107,b3106"
DNA-binding transcriptional repressor YcjW,YcjW,ycjW,b1320,ycjW,TF,"ompG,ymjB,ycjV,ycjU,ycjT,ycjS,ycjR,ycjQ,ycjP,ycjO,ycjN,ycjM","b1319,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309","ompG,ymjB,ycjV,ycjU,ycjT,ycjS,ycjR,ycjQ,ycjP,ycjO,ycjN,ycjM","b1319,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309",,
