"gene","Bnb","AncHa_rep1_0","AncHa_rep2_0","AncHb_rep1_0","AncHb_rep2_0","H03_10","H04_10","H06_10","H08_10","H10_10","H11_10","H03_30","H04_30","H06_30","H08_30","H10_30","H11_30"
"potF","b0854",5.39365196068,5.2930168828052,5.53156481690065,5.35472784568441,5.51923541726738,5.70574267711554,5.397866498236,6.2751859882037,5.30232289119759,5.89845647166831,4.95564928136099,5.36728452105347,5.82606314011348,6.14282487937374,5.0144575672103,5.20133432018857
"potG","b0855",3.4198507802401,3.16559042743463,3.57543653919339,3.35394574707262,3.66114746318081,3.75424350839631,3.33347945067251,4.42536746829589,3.32368905907956,3.57543653919339,3.40850731643515,3.51679567308199,4.03790937739433,4.3055539964983,3.04223767719652,2.77839913238448
"potI","b0857",5.68544987205962,5.35081889600652,5.17411526466428,5.1122673438035,5.58108740650416,4.97789974470312,4.87308104682082,5.6816264163111,4.7444242573806,5.46951406827478,4.89247418883846,5.22973227134854,5.39365196068,5.61936775218593,4.3055539964983,4.69080426725668
"ybjO","b0858",7.28603073815845,7.26703713655629,6.36566587708397,6.07311025604016,7.47130539731199,6.87426679947265,7.2024247763113,6.86224479335465,3.51679567308199,6.66983002489878,7.47130539731199,7.21021115248589,7.01400267057977,7.00158756424182,2.23368818646679,5.74820974917692
"artJ","b0860",5.13849416400462,5.55536285214084,5.93731390939647,6.13841914164562,5.5925794234404,6.42165336399206,5.5925794234404,8.39399659571418,5.66115310802614,6.56285319804359,5.94633178013089,5.74396753084781,6.42165336399206,7.93703785057223,6.13010240596068,5.82092175183165
"artQ","b0862",7.77324740054761,7.7445540927365,9.3803837902909,9.46372388015562,8.23670073154983,8.35914438701017,8.02340850265016,10.1975986814386,9.27186257796523,9.18653383515188,8.29908950404048,9.76243366258884,8.97528206192155,10.2870314688706,9.12822614535646,9.4865577457989
"artI","b0863",7.67309204964587,7.70206225386961,9.78672472559656,9.83573332677934,8.43124484063651,8.50024614897477,8.0548168235481,10.0973944633017,9.31328626830853,9.01186593964624,8.18350995087837,9.58367268391592,8.82753945189474,10.1814876236812,9.37155124430882,9.75422792618963
"ybjQ","b0866",7.01400267057977,6.86224479335465,7.27654215046298,7.40344922825878,7.17015181960009,7.02213549786789,7.25509079459602,6.77463989236952,7.39670653093806,6.6483158521326,7.03502372682337,7.19790190727839,7.30570460464454,6.49998372699424,7.06772637257901,7.14409305636925
"amiD","b0867",7.6922160956393,7.45036880465707,7.48683728500546,7.45901438408334,7.88637371723414,7.58659845908429,7.41130060234952,7.16758916311501,7.60377495734625,7.01072665625827,7.43189091255426,7.65895096488441,7.86816593699052,7.07269398146148,6.97596350788538,7.19001810381541
"ybjT","b0869",7.00712878543265,6.89533982728193,7.14409305636925,7.02488961971494,7.05375292057554,7.22422672146279,7.2617595964962,7.15315177723046,6.87426679947265,6.87726105417822,6.76648704196129,7.31945651470927,6.84598868605295,7.25307530046606,6.86563532396735,7.01072665625827
