Gene,41_1Ti9,E101,E1167,HS,H120,TA054,TA249,TA280,TA447,M114,E1114,MG1655,ROAR8,JJ1886,UTI89,S88
yggC,3.551687477,4.502922273,4.413552849,5.491403739,4.508858887,4.264142911,3.777436659,4.897158724,4.30033131,5.254413363,6.366209857,5.035685113,4.002301179,4.112897879,3.735117322,4.402913526
yggE,8.780512791,9.803764828,8.601814365,8.577141066,9.264323708,9.336196787,8.760007679,8.845692853,9.431848293,8.656875948,10.00641532,9.556079081,8.647732812,8.038631186,8.933516513,8.864602617
yggI,3.574940496,4.25543305,5.096634828,5.298337535,3.947676029,4.851096087,3.667782008,3.616051421,4.666979124,3.492410601,5.179606469,3.5076436,3.650424685,3.768586335,3.69207166,3.91518159
yggL,7.04611147,6.903320112,6.661192177,6.692905404,6.640454921,7.200131597,7.045271762,7.288041424,7.795731159,7.055355506,7.30928615,6.979783039,6.969469398,7.254720006,7.214325767,7.877026867
yggN,5.875052916,6.561741706,6.234617753,6.41356482,6.259906246,6.591682896,5.994359707,6.441607411,6.744357367,6.408772647,7.067718805,5.700081265,6.134907959,5.950985925,6.141201085,6.321934292
yggP,2.084109427,2.935382844,1.84713982,1.899361712,2.12684166,2.664118143,1.810123021,2.327155865,2.333864995,3.282633573,2.053193229,1.682404452,2.496647101,2.164281522,1.81869969,0.829090703
yggR,0.832442665,1.399938169,0.728601238,0.592792301,1.511146519,1.746204337,0.981758404,1.195399306,0.867839234,0.9244838,1.863252883,1.105300777,0.821661289,0.431869417,0.770293333,2.0361882
yggS,5.958470096,6.147186481,6.203261618,6.451255235,6.611134219,6.378391756,5.965684819,6.40540739,6.781994475,6.677846803,6.217667178,5.761062361,6.170212132,6.077404306,5.701214119,5.94327524
yggT,7.245474122,7.42239105,7.450083367,7.464094314,7.449044784,8.04965153,6.669529303,7.36613681,7.97431922,7.631677515,7.603736877,6.453836278,6.940460648,6.839365165,6.532350409,6.592005768
yggU,8.207298087,8.866275178,8.411198459,9.073577498,8.736787754,8.759108325,7.606581568,8.443584093,8.848222784,7.833188285,9.366089961,7.648558365,8.535868555,8.268278119,7.626742158,6.960325432
