Original_Name,Prom,ORF,Prom_ORF,Cel,Replicate,Name
flhD_fecI_24c.CEL,flhD,fecI,flhD_fecI,24c.CEL,rep3,flhD_fecI_rep3
flhD_hns_25a.CEL,flhD,hns,flhD_hns,25a.CEL,rep1,flhD_hns_rep1
flhD_hns_25b.CEL,flhD,hns,flhD_hns,25b.CEL,rep2,flhD_hns_rep2
flhD_hns_25c.CEL,flhD,hns,flhD_hns,25c.CEL,rep3,flhD_hns_rep3
crp_crp_264a.CEL,crp,crp,crp_crp,264a.CEL,rep1,crp_crp_rep1
crp_crp_264b.CEL,crp,crp,crp_crp,264b.CEL,rep2,crp_crp_rep2
crp_crp_264c.CEL,crp,crp,crp_crp,264c.CEL,rep3,crp_crp_rep3
flhD_fliA_26a.CEL,flhD,fliA,flhD_fliA,26a.CEL,rep1,flhD_fliA_rep1
flhD_fliA_26b.CEL,flhD,fliA,flhD_fliA,26b.CEL,rep2,flhD_fliA_rep2
flhD_fliA_26c.CEL,flhD,fliA,flhD_fliA,26c.CEL,rep3,flhD_fliA_rep3
flhD_crp_27a.CEL,flhD,crp,flhD_crp,27a.CEL,rep1,flhD_crp_rep1
flhD_crp_27b.CEL,flhD,crp,flhD_crp,27b.CEL,rep2,flhD_crp_rep2
flhD_crp_27c.CEL,flhD,crp,flhD_crp,27c.CEL,rep3,flhD_crp_rep3
flhD_glnG_28a.CEL,flhD,glnG,flhD_glnG,28a.CEL,rep1,flhD_glnG_rep1
flhD_glnG_28b.CEL,flhD,glnG,flhD_glnG,28b.CEL,rep2,flhD_glnG_rep2
flhD_glnG_28c.CEL,flhD,glnG,flhD_glnG,28c.CEL,rep3,flhD_glnG_rep3
flhD_ompR_29a.CEL,flhD,ompR,flhD_ompR,29a.CEL,rep1,flhD_ompR_rep1
flhD_ompR_29b.CEL,flhD,ompR,flhD_ompR,29b.CEL,rep2,flhD_ompR_rep2
flhD_ompR_29c.CEL,flhD,ompR,flhD_ompR,29c.CEL,rep3,flhD_ompR_rep3
yhdG_hns_2a.CEL,yhdG,hns,yhdG_hns,2a.CEL,rep1,yhdG_hns_rep1
yhdG_hns_2b.CEL,yhdG,hns,yhdG_hns,2b.CEL,rep2,yhdG_hns_rep2
yhdG_hns_2c.CEL,yhdG,hns,yhdG_hns,2c.CEL,rep3,yhdG_hns_rep3
appY_0_30a.CEL,appY,0,appY_0,30a.CEL,rep1,appY_0_rep1
appY_0_30b.CEL,appY,0,appY_0,30b.CEL,rep2,appY_0_rep2
appY_0_30c.CEL,appY,0,appY_0,30c.CEL,rep3,appY_0_rep3
pheS_rpoS_319a.CEL,pheS,rpoS,pheS_rpoS,319a.CEL,rep1,pheS_rpoS_rep1
pheS_rpoS_319b.CEL,pheS,rpoS,pheS_rpoS,319b.CEL,rep2,pheS_rpoS_rep2
pheS_rpoS_319c.CEL,pheS,rpoS,pheS_rpoS,319c.CEL,rep3,pheS_rpoS_rep3
appY_fis_31a.CEL,appY,fis,appY_fis,31a.CEL,rep1,appY_fis_rep1
appY_fis_31b.CEL,appY,fis,appY_fis,31b.CEL,rep2,appY_fis_rep2
appY_fis_31c.CEL,appY,fis,appY_fis,31c.CEL,rep3,appY_fis_rep3
appY_fecI_32a.CEL,appY,fecI,appY_fecI,32a.CEL,rep1,appY_fecI_rep1
appY_fecI_32b.CEL,appY,fecI,appY_fecI,32b.CEL,rep2,appY_fecI_rep2
appY_fecI_32c.CEL,appY,fecI,appY_fecI,32c.CEL,rep3,appY_fecI_rep3
ihfB_lrp_338c.CEL,ihfB,lrp,ihfB_lrp,338c.CEL,rep1,ihfB_lrp_rep1
ihfB_lrp_338b.CEL,ihfB,lrp,ihfB_lrp,338b.CEL,rep2,ihfB_lrp_rep2
ihfB_lrp_338a.CEL,ihfB,lrp,ihfB_lrp,338a.CEL,rep3,ihfB_lrp_rep3
appY_fliA_33a.CEL,appY,fliA,appY_fliA,33a.CEL,rep1,appY_fliA_rep1
appY_fliA_33b.CEL,appY,fliA,appY_fliA,33b.CEL,rep2,appY_fliA_rep2
appY_fliA_33c.CEL,appY,fliA,appY_fliA,33c.CEL,rep3,appY_fliA_rep3
appY_crp_34a.CEL,appY,crp,appY_crp,34a.CEL,rep1,appY_crp_rep1
appY_crp_34b.CEL,appY,crp,appY_crp,34b.CEL,rep2,appY_crp_rep2
appY_crp_34c.CEL,appY,crp,appY_crp,34c.CEL,rep3,appY_crp_rep3
ihfB_csgD_357a.CEL,ihfB,csgD,ihfB_csgD,357a.CEL,rep1,ihfB_csgD_rep1
ihfB_csgD_357b.CEL,ihfB,csgD,ihfB_csgD,357b.CEL,rep2,ihfB_csgD_rep2
ihfB_csgD_357c.CEL,ihfB,csgD,ihfB_csgD,357c.CEL,rep3,ihfB_csgD_rep3
appY_ompR_35a.CEL,appY,ompR,appY_ompR,35a.CEL,rep1,appY_ompR_rep1
appY_ompR_35b.CEL,appY,ompR,appY_ompR,35b.CEL,rep2,appY_ompR_rep2
appY_ompR_35c.CEL,appY,ompR,appY_ompR,35c.CEL,rep3,appY_ompR_rep3
araC_0_36a.CEL,araC,0,araC_0,36a.CEL,rep1,araC_0_rep1
araC_0_36b.CEL,araC,0,araC_0,36b.CEL,rep2,araC_0_rep2
araC_0_36c.CEL,araC,0,araC_0,36c.CEL,rep3,araC_0_rep3
araC_fis_37a.CEL,araC,fis,araC_fis,37a.CEL,rep1,araC_fis_rep1
araC_fis_37b.CEL,araC,fis,araC_fis,37b.CEL,rep2,araC_fis_rep2
araC_fis_37c.CEL,araC,fis,araC_fis,37c.CEL,rep3,araC_fis_rep3
araC_fecI_38a.CEL,araC,fecI,araC_fecI,38a.CEL,rep1,araC_fecI_rep1
araC_fecI_38b.CEL,araC,fecI,araC_fecI,38b.CEL,rep2,araC_fecI_rep2
araC_fecI_38c.CEL,araC,fecI,araC_fecI,38c.CEL,rep3,araC_fecI_rep3
flhD_flhDC_393a.CEL,flhD,flhDC,flhD_flhDC,393a.CEL,rep1,flhD_flhDC_rep1
flhD_flhDC_393c.CEL,flhD,flhDC,flhD_flhDC,393c.CEL,rep2,flhD_flhDC_rep2
flhD_flhDC_393b.CEL,flhD,flhDC,flhD_flhDC,393b.CEL,rep3,flhD_flhDC_rep3
araC_hns_39a.CEL,araC,hns,araC_hns,39a.CEL,rep1,araC_hns_rep1
araC_hns_39b.CEL,araC,hns,araC_hns,39b.CEL,rep2,araC_hns_rep2
araC_hns_39c.CEL,araC,hns,araC_hns,39c.CEL,rep3,araC_hns_rep3
