regulator_protein_eccid,regulator_genes_eccid,regulator_ids,names,regulation,targets_inhibition_eccid,targets_activation_eccid,protein,regulator,category
CPLX0-6,G6395,b0761,modE,EG11598@EG11597@EG11666@EG11596@EG11595@EG10234@EG10233@EG10232@G7414@EG10481@EG10480@EG10479@EG10478@EG10477@EG10476@EG10475@EG10474@EG10674@EG10675@EG10676@EG10677@EG10678@EG10643@EG10646@EG12427@EG10002@EG10152@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@EG10221@EG10219@EG10220@EG10222,EG10234@EG10233@EG10232@EG10674@EG10675@EG10676@EG10677@EG10678@EG12427@EG10002@EG10152@EG10221@EG10219@EG10220@EG10222,EG11598@EG11597@EG11666@EG11596@EG11595@G7414@EG10481@EG10480@EG10479@EG10478@EG10477@EG10476@EG10475@EG10474@EG10643@EG10646@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068,DNA-binding transcriptional dual regulator ModE-molybdate,ModE,TF
CPLX0-7418,EG10603,b2684,mprA,EG11703@EG11704@EG10659@EG10603@EG11354@EG11439,EG11703@EG11704@EG10659@EG10603@EG11354@EG11439,,DNA-binding transcriptional repressor MprA,MprA,TF
G7571-MONOMER,G7571,b3021,mqsA,G6543@G6544@G6545@G6546@EG10510@G7572@G7571@EG11111,G6543@G6544@G6545@G6546@EG10510@G7572@G7571@EG11111,,antitoxin of the MqsRA toxin-antitoxin system / DNA-binding transcriptional repressor MqsA,MqsA,TF
EG11084-MONOMER,EG11084,b0081,mraZ,EG11199@EG10265@EG10347@EG10339@EG10342@EG10214@EG10619@EG10623@EG10344@EG10620@EG10604@EG10622@EG10621@EG10341@EG11086@EG11085@EG11084,EG11199@EG10265@EG10347@EG10339@EG10342@EG10214@EG10619@EG10623@EG10344@EG10620@EG10604@EG10622@EG10621@EG10341@EG11086@EG11085@EG11084,,DNA-binding transcriptional repressor MraZ,MraZ,TF
CPLX0-7745,G7262,b2427,murR,G7262@G7264@G7263,G7262@G7264@G7263,G7262,DNA-binding transcriptional dual regulator MurR,MurR,TF
G7072-MONOMER,G7072,b1988,nac,G7017@G7876@G7872@G7871@G7864@G7468@G7466@G7494@G0-9121@G7000@G7015@G7014@G6955@G6953@G6932@G6931@G6851@G6847@G6846@G6845@G6844@G6841@G0-8892@G6813@G6688@G6180@G6176@G7912@G7879@G7862@EG12475@EG11938@EG11937@EG11935@EG11919@EG11855@EG11854@EG11843@EG11841@EG11838@EG11830@EG11470@EG11467@EG11260@EG11733@EG11722@EG11712@EG11686@G7759@G7735@G7670@EG11515@G7652@G7651@EG11173@G7577@EG12434@EG12363@EG11603@G7551@G7520@EG11155@G7434@G7433@G7442@G7405@G7397@G7398@G7400@EG12201@G7363@G7354@EG12446@G7346@G7316@G7315@G7314@G7261@G7260@G7204@G7203@EG12360@EG12049@EG12042@EG12038@G7122@G7112@G7108@G7057@EG12861@EG12379@EG12378@G6925@G6919@G6918@EG11234@G6828@G6818@G6792@G6791@G6758@G6737@G6683@G6682@G0-10591@EG11251@EG11516@G6532@G6460@G6451@G6450@EG12395@EG11110@EG11523@G6355@G6352@G6313@G6280@EG11769@EG12623@G6236@G6229@EG11236@G6103@G6109@G6117@G6116@EG11650@EG12327@EG11678@G7485@EG11146@EG11295@G7105@G7106@G7107@EG11540@G7099@G7100@EG11339@EG12210@G81@EG11140@G6334@EG11390@EG11051@EG11370@EG11032@EG11814@EG12429@EG11008@EG11276@EG11006@EG11005@EG11001@G6234@G0-8895@G6696@G6820@EG10989@G6217@EG10979@G6695@G6479@EG10974@EG30098@G0-10602@G0-8884@G0-10634@G7067@EG30092@EG12095@EG10933@EG10930@G7516@EG11094@G6522@EG11738@EG10899@EG10892@EG50001@G7366@G6581@EG11179@EG11979@EG12412@EG10837@EG10820@G7452@EG11279@EG10805@EG10786@EG10734@EG10784@EG12449@EG10758@EG11154@EG10756@EG10746@EG10744@EG10738@EG12883@EG11734@EG10728@G6531@EG10700@G7259@EG11493@EG11391@EG10679@EG10676@EG10674@EG10673@EG10672@G6700@EG10671@EG10669@EG10666@EG10665@EG11702@EG11950@EG11949@G812@EG12137@EG11739@EG10646@EG10642@EG12060@EG12061@G7676@EG10637@G6350@EG11546@EG11433@EG11180@EG10609@EG10153@EG11829@G7254@G0-8901@EG10593@EG10592@EG30061@EG10591@EG10584@EG12240@EG10574@G6415@EG11435@EG10570@EG10564@EG10557@G6461@EG10553@EG10551@EG11337@EG10549@EG10547@EG12666@EG10541@EG10540@EG10538@EG30050@EG10531@EG11280@EG10530@EG10529@EG10518@EG10512@EG12768@EG10511@G7423@EG11256@EG10507@G7777@EG10502@EG11270@G7387@EG10489@EG11534@EG12407@EG10466@EG11972@EG10462@EG10461@EG11505@EG11798@EG10438@EG11836@EG10431@EG10428@G7055@G7331@M009@G7446@EG11359@EG12173@G7707@G7706@EG10600@EG10412@EG10965@G6283@EG10402@EG10398@G7542@EG11442@EG12414@EG12243@EG11544@EG10348@G7033@EG10841@EG10321@G7949@EG10297@G7961@EG11858@EG12738@EG11609@G7292@G7233@G6483@G0-9562@G0-41@G6333@EG11297@EG10248@EG10235@G7565@G6110@G6628@G6627@G6779@G7038@EG10211@EG10206@EG11407@EG10196@EG10191@EG10176@EG11421@EG10173@EG12504@G7329@G7394@EG10160@EG13238@EG12151@EG11791@EG11792@EG11250@G6937@EG10146@EG11531@EG12335@EG12052@EG12058@EG12059@G6088@G6557@G6312@G7837@EG12013@EG11364@EG10114@EG10113@EG11181@EG30022@EG30020@EG10091@EG10078@EG10077@EG10076@EG30014@EG11159@EG10057@EG10056@G6764@EG10046@EG10041@EG10039@EG11363@G6276@G7242@EG11384@EG10266@EG10023@G6670@G7763@G7637@G7469@G0-10459@G6840@G6642@G6166@G7887@G7886@G7835@G7833@EG11951@EG11941@EG11917@EG11913@EG11725@EG12271@EG12249@EG12248@EG12225@EG12217@G7722@G7695@G7669@G7655@G7618@EG12720@G7597@EG12657@G7552@G7538@G7518@G7471@G7461@EG12373@G7437@G7360@G7235@G7234@G7189@G7178@G7177@EG12027@EG12105@EG11991@G7089@G7040@G7004@G6928@G6916@G6915@G6903@G6860@EG11640@G6757@G6756@G6601@G6629@G6614@G6513@G6467@EG12702@EG11242@EG11241@G6404@G6400@G6399@G6398@G6354@G6351@G6335@G6326@G6300@EG11097@G6228@G6216@G6158@G6108@EG11649@EG12138@EG12274@G7031@G7091@G0-9621@EG10992@EG10935@G7008@EG11794@G6416@EG12134@EG10839@G7431@EG12114@G7415@G6697@G6819@G6954@G7063@EG10246@EG11343@EG11334@G7463@G7003@G6104@EG10017@EG11578@EG10405@G7865@EG11859@EG11613@G6480@EG11639@EG10231@EG10213@EG10212@EG10043@G6760@EG11727@EG11726@EG10124@EG10027@G6671@G6706@G6755@G6754@G6753@G6752@G6751@EG10372@EG11330@EG10361@EG11329@EG10375@EG11199@EG10093@EG11971@EG11327@EG11326@EG10944@EG10403@EG10404@EG11514@G7072,G7017@G7876@G7872@G7494@G0-9121@G7015@G6955@G6932@G6931@G6851@G6846@G6845@G6844@G6180@G6176@G7912@G7879@G7862@EG12475@EG11935@EG11919@EG11855@EG11854@EG11843@EG11841@EG11838@EG11260@EG11733@EG11722@G7759@G7735@G7670@EG11515@G7652@G7651@G7577@EG12434@EG11603@G7551@G7520@EG11155@G7434@G7433@G7442@G7405@G7397@G7398@G7400@EG12201@G7363@G7354@G7346@G7316@G7314@G7261@G7204@G7203@EG12360@EG12049@EG12042@EG12038@G7122@G7112@G7057@EG12861@G6919@G6918@EG11234@G6828@G6818@G6792@G6791@G6758@G6682@G0-10591@EG11251@EG11516@G6532@G6460@EG11110@EG11523@G6355@G6313@EG11769@EG12623@G6236@EG11236@G6109@G6117@G6116@EG12327@EG11678@G7485@EG11146@G7105@G7106@G7107@EG11339@EG12210@G81@EG11140@G6334@EG11390@EG11051@EG11370@EG11032@EG11814@EG11008@EG11006@EG11005@EG11001@G6234@G0-8895@G6696@G6820@EG10989@G6217@EG10979@G6695@G6479@EG10974@EG30098@G0-10602@G7067@EG12095@EG10930@G7516@EG11094@EG11738@EG10899@EG50001@G7366@EG11179@EG12412@EG10837@EG10820@G7452@EG10805@EG10786@EG10734@EG10784@EG12449@EG10758@EG10756@EG10746@EG10744@EG10738@EG11734@EG10728@G7259@EG11493@EG11391@EG10676@EG10673@EG10672@G6700@EG10671@EG10669@EG10666@EG10665@EG11971@EG11702@G812@EG12137@EG11739@EG10646@EG10642@EG12060@EG12061@EG10637@G6350@EG11546@EG11180@EG10609@EG11829@G7254@EG10593@EG10592@EG30061@EG10591@EG10574@G6415@EG10564@EG10557@G6461@EG10553@EG10551@EG11337@EG10547@EG12666@EG10541@EG10540@EG30050@EG10531@EG10530@EG10518@EG10512@EG10511@G7423@EG11256@EG10507@EG10502@EG11972@EG10462@EG10461@EG11505@EG11798@EG10438@EG11836@EG10431@EG10428@G7055@G7446@G7707@G7706@EG10412@G6283@EG10402@EG10398@EG11442@EG12414@EG12243@EG10348@EG10841@EG10321@G7949@EG10297@G6706@G7961@EG11858@EG12738@EG11609@G7233@G6483@G0-9562@G0-41@EG11297@EG10248@EG10235@G7565@G6110@G6627@G6779@EG10211@EG10206@EG10196@EG10191@EG10176@EG11421@G7329@G7394@EG10160@EG13238@EG12151@EG11250@G6937@EG11531@EG12335@EG12052@EG12058@EG12059@G6088@G6312@G7837@EG11364@EG10114@EG11181@EG30022@EG30020@EG10091@EG10078@EG10077@EG10076@EG10057@EG10056@G6764@EG10046@EG10041@EG10039@EG11363@G7242@EG10266@EG10023@G6670@G7637@G0-10459@G6840@G6642@G6166@G7887@G7835@G7833@EG11951@EG11913@EG11725@EG12271@EG12248@EG12225@G7722@G7695@G7618@EG12720@EG12657@G7552@G7518@G7471@G7461@EG12373@G7437@G7360@G7234@G7189@G7177@EG12105@EG11991@G7089@G7040@G7004@G6928@G6916@G6903@G6860@G6757@G6756@G6614@G6513@EG11242@EG11241@G6400@G6399@G6335@EG11097@G6228@EG11649@EG12138@G7091@EG10992@EG10935@G7008@EG12134@G7431@EG12114@G7415@G6697@G6819@G6954@G7063@EG10246@EG11343@EG11334@G7463@G7003@EG10017@EG11578@EG10405@G7865@EG11859@EG11613@EG11639@EG10231@EG10213@G6760@EG11727@EG11726@G6671@EG10372@EG10375@EG11199@EG10093@EG10944@EG10403@EG10404@EG11514@G7072,G7871@G7864@G7468@G7466@G7000@G7014@G6953@G6847@G6841@G0-8892@G6813@G6688@EG11938@EG11937@EG11830@EG11470@EG11467@EG11712@EG11686@EG11173@EG12363@EG12446@G7315@G7260@G7108@EG12379@EG12378@G6925@G6737@G6683@G6451@G6450@EG12395@G6352@G6280@G6229@G6103@EG11650@EG11295@EG11540@G7099@G7100@EG12429@EG11276@G0-8884@G0-10634@EG30092@EG10933@G6522@EG10892@G6581@EG11979@EG11279@EG11154@EG12883@G6531@EG10700@EG10679@EG10674@EG11950@EG11949@G7676@EG11433@EG10153@G0-8901@EG10584@EG12240@EG11435@EG10570@EG10549@EG10538@EG11280@EG10529@EG12768@G7777@EG11270@G7387@EG10489@EG11534@EG12407@EG10466@G7331@M009@EG11359@EG12173@EG10600@EG10965@EG11514@G7542@EG11544@G7033@G7292@G6333@G6628@G7038@EG11407@EG10173@EG12504@EG11791@EG11792@EG10146@G6557@EG12013@EG10113@EG30014@EG11159@G6276@EG11384@G7763@G7469@G7886@EG11941@EG11917@EG12249@EG12217@G7669@G7655@G7597@G7538@G7235@G7178@EG12027@G6915@EG11640@G6601@G6629@G6467@EG12702@G6404@G6398@G6354@G6351@G6326@G6300@G6216@G6158@G6108@EG12274@G7031@G0-9621@EG11794@G6416@EG10839@G6104@G6480@EG10212@EG10043@EG10124@EG10027@G6706@G6755@G6754@G6753@G6752@G6751@EG11330@EG10361@EG11329@EG11971@EG11327@EG11326,DNA-binding transcriptional dual regulator Nac,Nac,TF
CPLX0-7975,EG11335,b4390,nadR,EG10631@EG10742@EG11700@EG10630,EG10631@EG10742@EG11700@EG10630,,DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,NadR,TF
PD00266,EG10636,b0676,nagC,G6787@G6788@EG12933@EG12101@EG12102@G7292@G7291@G7290@G7289@G7288@G7287@G6791@G6558@EG11217@EG11218@EG10730@EG10145@EG10788@EG10789@EG10165@G0-17083@G6371@G6370@EG12148@EG10309@EG10635@G7919@G7920@G7921@EG10567@EG10568@EG10569@EG10382@EG11198@EG12198@EG10144@EG10143@EG10142@EG10141@EG10140@EG10634@EG10636@EG10632@EG10633,G6787@G6788@G6791@G6558@EG11217@EG11218@EG10730@EG10145@EG10788@EG10789@EG10165@G0-17083@G6371@G6370@EG12148@EG10635@G7919@G7920@G7921@EG10567@EG10568@EG10569@EG10382@EG11198@EG12198@EG10144@EG10143@EG10142@EG10141@EG10140@EG10634@EG10636@EG10632@EG10633,EG10309@EG10382@EG11198,DNA-binding transcriptional dual regulator NagC,NagC,TF
CPLX0-8593,G7678,b3226,nanR,G7901@EG12544@EG10309@G7675@G7676@G7677@G436@EG10637@G7919@G7920@G7921,G7901@EG12544@G7675@G7676@G7677@G436@EG10637@G7919@G7920@G7921,EG10309,DNA-binding transcriptional dual regulator NanR,NanR,TF
PHOSPHO-NARL,EG10643,b1221,narL,EG11124@G6791@G6339@G6340@G6341@G6342@G6343@G6344@G6346@G6345@G6849@G6848@G6847@G6846@G6845@EG10668@G6897@G6898@G6899@G6900@G6901@G6902@G7866@G6983@G6982@G7826@G7827@EG12450@G7413@EG11369@EG11370@EG10754@G6456@G6457@EG10012@EG11405@EG11815@EG11814@EG12195@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG11225@EG10095@EG11227@EG11228@EG11229@EG10285@EG12093@EG11773@EG12092@EG12091@EG12090@EG12089@EG12088@EG12087@EG11774@EG12086@EG12084@EG12083@EG12082@EG10154@EG10153@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473@EG10701@EG11258@G6088@G7554@EG11805@EG11804@EG11803@EG11802@EG11801@EG11800@EG11799@EG10357@EG10006@EG10031@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@EG11519@EG12075@EG12076@EG12077@EG12078@EG12079@EG10232@EG10233@EG10234@EG10333@EG10332@EG10331@EG10330@EG10653@EG10655@EG10654@EG10188@G0-17088@EG10642@EG10638@EG10639@EG10641@EG10640,EG11124@G6339@G6340@G6341@G6342@G6343@G6344@G6346@G6345@G6849@G6848@G6847@G6846@G6845@G6897@G6898@G6899@G6900@G6901@G6902@G7826@G7827@EG12450@G7413@EG11369@EG11370@EG11815@EG11814@EG12195@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG11225@EG10095@EG10285@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473@EG10701@EG11258@G6088@G7554@EG11805@EG11804@EG11803@EG11802@EG11801@EG11800@EG11799@EG10357@EG10006@EG10031@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@EG11519@EG12075@EG12076@EG12077@EG12078@EG12079@EG10232@EG10233@EG10234@EG10333@EG10332@EG10331@EG10330,G6791@EG10668@G7866@G6983@G6982@EG10754@G6456@G6457@EG10012@EG11405@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG11227@EG11228@EG11229@EG12093@EG11773@EG12092@EG12091@EG12090@EG12089@EG12088@EG12087@EG11774@EG12086@EG12084@EG12083@EG12082@EG10154@EG10153@EG10653@EG10655@EG10654@EG10188@G0-17088@EG10642@EG10638@EG10639@EG10641@EG10640,DNA-binding transcriptional dual regulator NarL-phosphorylated,NarL,TF
PHOSPHO-NARP,EG11527,b2193,narP,G6791@G6897@G6898@G6899@G6900@G6901@G6902@G7866@G6983@G6982@EG12450@G7413@EG10754@G6456@G6457@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG11227@EG11228@EG11229@EG10285@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@EG10653@EG10655@EG10654@EG10188,G6791@G6897@G6898@G6899@G6900@G6901@G6902@EG12450@G7413@EG11227@EG11228@EG11229@EG10468@EG10469@EG10470@EG10471@EG10472@EG10473@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068,G7866@G6983@G6982@EG10754@G6456@G6457@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@EG10285@EG12052@EG12053@EG12054@EG12055@EG12169@EG12057@EG12058@EG12059@EG12060@EG12061@EG12062@EG12064@EG12067@EG12143@EG12068@EG10653@EG10655@EG10654@EG10188,DNA-binding transcriptional dual regulator NarP-phosphorylated,NarP,TF
G6889-MONOMER,G6889,b1649,nemR,G6891@G6890@G6889,G6891@G6890@G6889,,DNA-binding transcriptional repressor NemR,NemR,TF
G7594-MONOMER,G7594,b3071,nfeR,G7593@G7594,G7593@G7594,,DNA-binding transcriptional repressor NfeR,NfeR,TF
MONOMER0-46,EG11078,b0020,nhaR,G6528@G6529@G6530@G6531@EG11078@EG10652@EG10680,,G6528@G6529@G6530@G6531@EG11078@EG10652@EG10680,NhaR-Na<SUP>+</SUP> DNA-binding transcriptional activator,NhaR,TF
CPLX0-7707,EG11519,b3481,nikR,EG11519@EG12075@EG12076@EG12077@EG12078@EG12079,EG11519@EG12075@EG12076@EG12077@EG12078@EG12079,,DNA-binding transcriptional repressor NikR-Ni<SUP>2+</SUP>,NikR,TF
G6976-MONOMER,G6976,b1790,nimR,G6976@G6977,G6976@G6977,,DNA-binding transcriptional repressor NimR,NimR,TF
EG12108-MONOMER,EG12108,b2709,norR,EG12108@EG12450@G7413,EG12108,EG12450@G7413,DNA-binding transcriptional dual regulator NorR,NorR,TF
CPLX0-8061,EG11320,b0413,nrdR,G7401@G7402@EG12381@EG20257@EG12360@EG10660@EG10661@G812@EG11417,G7401@G7402@EG12381@EG20257@EG12360@EG10660@EG10661@G812@EG11417,,NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor,NrdR,TF
CPLX0-7756,EG11212,b4178,nsrR,EG10154@EG10153@EG10952@EG10954@EG11648@EG10649@EG11371@EG11372@EG12108@G6967@EG11458@EG11457@G7800@EG11486@EG11456@EG11455@EG11454@EG11453@EG11452@EG11451@EG11295@EG10840@EG11262@EG10440@EG10710@EG10709@EG11272@EG10881@EG11231@EG10506@EG11001@G7039@EG11356@EG11355@EG10547@G7880@EG11310@EG13161@EG10137@EG11266@G6206@EG10025@EG10024@G6706@G7414@EG10481@EG10480@EG10479@EG10478@EG10477@EG10476@EG10475@EG10474@EG10301@EG10483@EG10484@EG10485@EG10486@EG10487@G6892@EG12181@G6905@G6906@G6907@G6908@G6909@EG11378@G6983@G6982@EG11883@EG11884@G7961@EG10754@G6456@G6457@EG10456@EG11287@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@G7866@G0-8880,EG10952@EG10954@EG11648@EG10649@EG11371@EG11372@EG12108@G6967@EG11458@EG11457@G7800@EG11486@EG11456@EG11455@EG11454@EG11453@EG11452@EG11451@EG11295@EG10840@EG11262@EG10440@EG10710@EG10709@EG11272@EG10881@EG11231@EG10506@EG11001@G7039@EG11356@EG11355@EG10547@G7880@EG11310@EG13161@EG10137@EG11266@G6206@EG10025@EG10024@G6706@G7414@EG10481@EG10480@EG10479@EG10478@EG10477@EG10476@EG10475@EG10474@EG10301@EG10483@EG10484@EG10485@EG10486@EG10487@G6892@EG12181@G6905@G6906@G6907@G6908@G6909@EG11378@G6983@G6982@EG11883@EG11884@G7961@EG10754@G6456@G6457@EG10456@EG11287@EG11781@EG11945@EG11946@EG11947@EG11948@EG11949@EG11950@G7866@G0-8880,EG10154@EG10153,DNA-binding transcriptional dual regulator NsrR,NsrR,TF
PROTEIN-NRIP,EG10385,b3868,glnG,G0-16690@G7347@G7348@EG12341@EG11897@G7596@EG10835@G6940@G6941@G6942@G6943@G6944@EG11629@EG11630@EG11631@EG11632@G6777@G6778@G6779@G6780@G6781@G6782@EG12837@EG12836@EG12835@EG12834@G6970@G6969@EG10452@EG10007@EG12125@EG12124@EG10072@G6523@G6522@G6521@G6520@G6519@G6518@G6517@G7071@EG10389@EG10388@EG10386@G7072@EG11821@EG12191@EG10385@EG10387@EG10383,EG10389@EG10388@EG10386@EG10385@EG10387@EG10383,G0-16690@G7347@G7348@EG12341@EG11897@G7596@EG10835@G6940@G6941@G6942@G6943@G6944@EG11629@EG11630@EG11631@EG11632@G6777@G6778@G6779@G6780@G6781@G6782@EG12837@EG12836@EG12835@EG12834@G6970@G6969@EG10452@EG10007@EG12125@EG12124@EG10072@G6523@G6522@G6521@G6520@G6519@G6518@G6517@G7071@EG10385@EG10387@EG10383@EG10389@EG10388@EG10386@G7072@EG11821@EG12191,DNA-binding transcriptional dual regulator NtrC-phosphorylated,NtrC,TF
CPLX0-8285,EG10672,b3405,ompR,EG10133@EG10131@EG10132@G0-17074@EG10753@EG10964,EG10133@EG10131@EG10132@G0-17074@EG10753@EG10964@EG10544@G6528@G6529@G6530@G6531@G0-9562@EG10671@EG11508@EG10319@EG10320@EG10659@EG10125@EG10280,EG12933@EG12101@EG12102@EG11262@EG11009@EG12732@EG11366@EG12134@EG11088@EG12117@EG12153@G6106@G6105@EG12116@EG10670@G0-8882@G0-8868@G6877@G6543@G6544@G6545@G6546@EG30063@EG10671,OmpR dimer,OmpR,TF
PD00214,EG10681,b3961,oxyR,EG11073@EG12189@G7173@G0-10474@EG10584@EG10591@G7061@G7017@EG12368@G7018@EG11404@EG10754@G6456@G6457@EG31116@EG10681@G6447@EG10852@EG11261@EG12842@EG12563@EG20248@EG11066@G6333@G7254@G7949@EG10412@G0-10580@EG10359@EG11887@G0-8905@G7080@G6905@G6906@G6907@G6908@G6909@EG11378@EG11415@EG11384@EG11385@EG12244@EG10417@EG10511@EG10431,G7173@EG11404@EG10681@G6447@EG10852@EG11261@EG12842@EG12563@EG20248@EG11066@G7949@G0-8905@G7080,EG11073@EG12189@G7173@G0-10474@EG10584@EG10591@G7061@G7017@EG12368@G7018@EG10754@G6456@G6457@EG31116@G6333@G7254@EG10412@G0-10580@EG10359@EG11887@G6905@G6906@G6907@G6908@G6909@EG11378@EG11415@EG11384@EG11385@EG12244@EG10417@EG10511@EG10431,DNA-binding transcriptional dual regulator OxyR,OxyR,TF
CPLX0-7731,G6720,b1399,paaX,G6721@G6720@G6719@G6718@G6717@G6716@G6715@G6714@G6713@G6712@G6711@G6710@G6709@G6708,G6721@G6720@G6719@G6718@G6717@G6716@G6715@G6714@G6713@G6712@G6711@G6710@G6709@G6708,,DNA-binding transcriptional repressor PaaX,PaaX,TF
CPLX0-8109,EG11236,b0315,pdeL,EG10840@G379@G378@G377@EG11656@EG11654@EG11347@G7541@EG11236,EG10840@G379@G378@G377@EG11656@EG11654@EG11347,G7541@EG11236,DNA-binding transcriptional dual regulator/c-di-GMP phosphodiesterase PdeL,PdeL,TF
EG11088-MONOMER,EG11088,b0113,pdhR,EG11132@EG10759@EG10265@EG10347@EG10339@EG10342@EG10214@EG10619@EG10623@EG10344@EG10620@EG10604@EG10622@EG10621@EG10341@EG11086@EG11085@EG11084@G7542@EG20080@G7543@G0-8601@G7544@G7545@EG10432@EG12429@EG10439@EG10182@EG10181@EG10180@EG10179@EG10178@EG10649@EG11784@EG10290@EG10289@EG10288@EG10287@EG10286@EG11088@EG10024@EG10025@EG10543,EG10265@EG10347@EG10339@EG10342@EG10214@EG10619@EG10623@EG10344@EG10620@EG10604@EG10622@EG10621@EG10341@EG11086@EG11085@EG11084@G7542@EG20080@G7543@G0-8601@G7544@G7545@EG10432@EG12429@EG10439@EG10182@EG10181@EG10180@EG10179@EG10178@EG10649@EG11784@EG11088@EG10024@EG10025@EG10543,EG11132@EG10759@EG10290@EG10289@EG10288@EG10287@EG10286,DNA-binding transcriptional dual regulator PdhR,PdhR,TF
EG10694-MONOMER,EG10694,b4260,pepA,EG10694@EG10134@EG10135,EG10694@EG10134@EG10135,,aminopeptidase A/I,PepA,TF
G6664-MONOMER,G6664,b1328,pgrR,G6665@EG11042@EG12870@G6659@G6661@G6662@G0-10446@G0-10645@G6663,G6665@EG11042@EG12870@G6659@G6661@G6662@G0-10446@G0-10645@G6663,,DNA-binding transcriptional repressor PgrR,PgrR,TF
PHOSPHO-PHOB,EG10728,b0399,phoB,EG10783@EG10782@EG10784@EG10734@G7872@EG10338@EG12462@EG12100@EG12242@EG12243@EG10671@EG10735@EG10732@EG12247@G7108@G7058@G6814@G6706@EG12367@G6322@G6321@G6320@G6318@G6319@EG11094@EG10927@G6195@G6968@EG12883@EG11266@EG10039@EG10490@G6855@EG10256@EG11734@EG10725@EG10724@EG10723@EG10722@EG10721@EG10720@EG10719@EG10718@EG10717@EG10716@EG10715@EG11283@EG10714@EG10713@EG10729@EG11209@EG11050@EG11048@EG11049@EG11046@EG11047@EG10728@EG10733@EG10727@EG11401,EG10338@G6706@EG11094@EG10927@G6195@EG12883@EG10256@EG11050@EG11048@EG11049@EG11046@EG11047,EG10783@EG10782@EG10784@EG10734@G7872@EG12462@EG12100@EG12242@EG12243@EG10671@EG10735@EG10732@EG12247@G7108@G7058@G6814@EG12367@G6322@G6321@G6320@G6318@G6319@G6968@EG11266@EG10039@EG10490@G6855@EG11734@EG10725@EG10724@EG10723@EG10722@EG10721@EG10720@EG10719@EG10718@EG10717@EG10716@EG10715@EG11283@EG10714@EG10713@EG10729@EG11209@EG11050@EG11048@EG11049@EG11046@EG11047@EG10728@EG10733@EG10727@EG11401,DNA-binding transcriptional dual regulator PhoB-phosphorylated,PhoB,TF
PHOSPHO-PHOP,EG10731,b1130,phoP,G0-10609@G6463@G7443@EG10184@EG10380@EG10377@EG10379@EG10381@EG10378@G6791@G6789@G6790@G0-8892@G6600@G0-16680@EG11544@EG11495@EG12242@EG11400@EG11399@EG11398@EG10673@G0-10671@EG11165@EG11164@EG11009@G7679@G7002@EG12202@G0-10689@EG12525@EG10590@EG10582@G6523@G6522@G6521@G6520@G6519@G6518@G6517@G6881@EG11233@G6864@G6312@G7667@G6439@EG12180@EG10432@EG10632@EG10066@EG11316@EG10732@EG10731@EG11703@EG11704@EG10792@EG10795@EG10280,G6463@G6791@G6789@G6790@G7679@EG12202@G6881@EG10066@EG10732@EG10731@EG11703@EG11704,G0-10609@G7443@EG10184@EG10380@EG10377@EG10379@EG10381@EG10378@G0-8892@G6600@G0-16680@EG11544@EG11495@EG12242@EG11400@EG11399@EG11398@EG10673@G0-10671@EG11165@EG11164@EG11009@G7002@G0-10689@EG12525@EG10590@EG10582@G6523@G6522@G6521@G6520@G6519@G6518@G6517@G6881@EG11233@G6864@G6312@G7667@G6439@EG12180@EG10432@EG10632@EG11316@EG10732@EG10731@EG10792@EG10795@EG10280,DNA-binding transcriptional dual regulator PhoP-phosphorylated,PhoP,TF
EG12278-MONOMER,EG12278,b3574,plaR,G7608@EG10401@EG10391@EG10256@EG12278@EG12281@EG12287@EG12286@EG12285@EG12284@EG12283@EG12282@EG12280@EG12279,G7608@EG10401@EG10391@EG10256@EG12278@EG12281@EG12287@EG12286@EG12285@EG12284@EG12283@EG12282@EG12280@EG12279,,DNA-binding transcriptional repressor PlaR,PlaR,TF
